id,id_partido,id_persona,id_tipo_accion,minuto
1,1,299,10,18
2,1,315,10,28
3,1,313,9,38
4,1,292,9,44
5,1,312,10,86
6,1,338,9,32
8,1,311,9,85
9,1,316,9,23
10,1,26,9,77
11,1,20,9,46
12,1,28,9,34
14,1,7,9,27
15,1,377,9,15
16,2,251,10,42
17,2,243,10,15
18,2,251,10,59
19,2,255,10,90
20,2,251,10,20
21,2,243,10,34
22,2,234,10,60
23,2,243,10,30
24,2,251,10,85
25,2,244,10,20
26,2,249,9,74
27,89,320,12,38
28,2,248,9,36
29,2,251,9,90
30,2,245,9,72
31,2,510,9,32
33,2,238,6,2
34,2,498,9,24
35,2,82,9,8
36,2,489,10,45
37,2,480,10,71
38,2,482,6,90
39,2,497,6,32
40,2,491,9,6
42,2,499,9,63
43,2,504,9,2
44,159,342,5,31
45,3,687,10,56
46,3,683,6,42
47,3,687,10,31
48,252,674,2,44
49,3,690,10,26
50,133,683,11,13
51,3,682,6,51
52,3,687,9,89
53,3,709,9,15
54,3,674,10,7
55,3,709,10,75
56,3,683,9,51
57,378,310,1,25
58,3,716,9,68
59,311,320,12,79
60,3,674,9,32
61,3,686,9,53
62,3,686,6,67
63,3,199,9,25
64,3,215,9,62
65,361,441,5,49
66,3,196,6,32
67,3,206,9,70
68,3,539,9,63
69,264,468,2,71
70,3,539,10,80
71,3,212,10,58
72,3,47,9,63
73,3,226,9,51
74,249,285,1,24
75,3,472,10,53
76,4,396,10,52
77,4,407,10,79
78,4,403,6,3
79,4,396,6,22
80,4,410,9,50
81,188,305,7,54
82,4,408,9,29
83,4,405,9,49
84,4,400,9,17
85,4,401,9,38
86,4,412,9,20
87,4,381,6,56
88,4,673,9,31
89,4,370,9,35
90,131,360,2,20
91,4,363,9,22
92,4,373,9,57
93,4,373,10,26
94,4,381,10,18
95,4,383,9,78
96,4,371,9,63
97,4,371,10,34
98,4,366,10,26
99,5,569,10,34
100,5,586,10,40
101,5,68,10,37
102,5,584,10,11
103,5,570,9,39
104,220,287,1,83
105,5,573,9,41
106,5,586,9,19
107,5,582,9,22
108,5,569,9,86
110,5,646,9,84
111,5,651,9,33
112,5,597,9,26
113,5,650,9,28
114,5,645,9,89
115,5,717,9,90
116,6,147,6,70
117,6,147,10,52
118,80,249,12,45
119,6,647,10,68
120,6,647,9,75
121,6,151,9,74
122,6,151,10,80
123,6,141,10,46
124,6,141,6,59
126,6,147,10,36
127,6,149,10,89
128,6,173,9,58
129,6,134,9,13
130,6,147,9,30
131,6,150,9,76
132,6,427,10,58
133,6,471,10,30
134,6,466,9,1
135,6,460,9,67
136,6,476,9,90
137,364,30,11,79
138,6,468,9,30
139,6,445,9,4
140,6,465,9,65
141,7,165,10,71
142,7,183,10,13
143,169,27,1,50
144,7,175,9,11
145,7,182,9,7
146,7,433,9,28
147,7,455,9,78
148,31,269,7,75
149,7,169,9,9
150,7,181,9,31
151,7,183,6,1
152,7,102,6,55
153,7,110,9,61
154,7,108,9,55
155,7,99,6,77
156,7,644,9,72
158,7,100,9,81
159,7,117,9,62
160,8,48,6,33
161,8,59,9,45
162,8,60,9,26
163,8,564,9,43
164,8,579,9,83
165,8,48,9,45
166,8,50,9,79
167,36,452,5,44
168,8,311,6,64
169,8,316,10,73
170,8,320,10,63
171,8,316,9,86
172,8,315,9,37
173,8,304,9,65
174,55,588,12,11
175,235,297,12,27
176,8,312,9,35
177,8,315,10,90
178,8,320,10,17
179,8,320,10,6
180,8,310,9,48
181,8,232,9,68
182,9,563,10,16
183,9,564,10,51
184,9,557,10,19
185,9,556,10,56
186,9,559,6,52
187,9,559,9,3
188,29,666,11,22
189,9,551,9,77
190,9,542,9,54
191,9,555,9,51
192,9,564,9,70
193,9,560,9,1
194,9,425,10,61
195,9,433,10,69
196,9,440,10,29
197,9,439,10,6
198,9,438,10,41
199,9,439,4,35
200,9,440,10,25
201,9,439,10,36
202,9,440,9,50
203,9,428,9,19
204,9,441,9,9
205,9,444,9,27
206,9,439,9,26
207,9,429,9,10
208,10,285,10,41
209,10,284,10,49
210,10,287,6,20
211,10,284,9,89
212,10,278,9,49
213,10,271,9,33
214,10,267,9,40
215,10,276,9,87
216,10,157,9,16
217,53,455,1,76
218,202,270,2,39
219,10,270,6,84
220,10,350,9,81
221,10,348,9,2
222,10,332,9,53
223,10,349,9,25
224,219,60,1,44
225,10,335,9,66
226,10,339,9,52
227,10,207,6,35
228,11,316,10,9
229,11,299,10,70
230,11,317,10,33
231,11,293,10,23
232,251,536,2,23
233,11,316,9,35
234,11,315,9,11
235,11,305,9,39
236,11,310,9,5
237,11,294,9,19
238,11,299,9,69
239,11,410,9,66
240,11,413,9,11
241,11,403,9,47
242,11,395,9,32
243,12,597,6,69
244,12,650,6,76
245,12,646,9,58
246,369,335,1,59
247,12,648,9,62
248,12,637,6,66
249,12,312,6,77
250,12,338,9,85
251,12,317,9,47
252,12,311,9,80
253,12,316,9,77
255,12,307,9,60
256,13,482,6,63
257,13,499,6,2
258,13,499,10,47
259,13,494,10,34
260,13,82,9,75
261,13,504,9,83
262,13,494,9,36
263,13,496,9,8
264,13,482,10,74
265,13,497,10,26
266,13,149,10,42
267,13,134,6,64
268,13,173,10,72
269,13,141,10,43
270,13,129,6,31
271,13,647,9,7
272,30,255,5,37
273,13,151,9,57
274,13,128,6,28
275,13,141,6,31
276,13,173,9,26
277,242,491,1,34
278,13,140,9,28
279,13,149,9,84
281,173,590,1,90
282,14,213,6,66
283,14,196,10,35
284,14,472,10,35
285,14,206,10,61
286,14,185,6,60
287,14,47,6,10
288,14,47,9,88
289,14,717,9,79
290,14,240,9,63
291,14,213,9,8
292,14,472,9,4
293,14,221,9,71
294,14,564,6,80
295,14,552,6,22
296,309,352,5,43
297,14,552,9,73
298,14,555,9,24
299,305,588,5,62
300,217,431,7,18
301,14,556,6,4
302,378,315,5,3
303,14,541,9,90
304,356,349,1,90
305,14,560,9,81
306,14,546,6,15
307,14,22,9,61
308,14,551,9,22
309,15,207,10,32
310,15,348,10,30
311,15,342,6,75
312,15,350,9,89
313,67,215,1,38
314,367,405,12,47
316,15,330,10,85
317,15,342,9,37
318,15,344,9,20
319,15,350,10,64
320,15,348,10,43
321,15,207,9,48
322,15,349,9,35
323,15,327,10,69
324,145,255,1,74
325,15,349,10,35
326,15,33,13,76
327,15,52,9,64
328,15,53,9,12
329,251,308,11,55
330,15,42,9,38
331,15,45,9,71
332,15,60,9,81
333,15,564,9,26
334,16,366,10,50
335,16,655,10,36
336,16,381,10,3
337,16,364,10,26
338,16,381,9,12
340,16,360,6,53
341,16,655,6,83
342,16,673,9,4
343,16,383,9,36
344,16,370,9,61
345,370,23,2,45
346,16,373,9,75
347,303,468,11,70
348,16,673,6,69
349,16,372,6,39
350,339,287,1,74
351,16,709,9,31
352,16,678,9,4
353,16,661,9,63
354,16,725,9,27
355,16,686,9,27
356,16,682,9,30
357,17,427,13,86
358,173,68,2,31
359,244,677,11,5
360,17,476,9,58
361,17,448,9,21
362,17,461,6,48
363,17,461,9,58
364,17,460,9,23
365,17,445,9,59
366,17,457,9,5
367,17,452,6,89
368,17,244,13,74
369,17,243,6,3
370,303,468,1,52
371,17,251,10,30
372,185,645,1,84
373,17,255,10,49
375,17,510,9,34
376,85,548,1,10
377,169,28,11,57
378,17,244,9,58
379,64,612,7,60
380,17,249,9,14
381,17,235,6,61
382,17,248,9,49
383,17,246,9,78
384,17,251,6,36
385,18,121,6,20
386,18,110,9,56
387,197,659,7,22
388,18,108,9,58
389,18,115,9,23
390,18,644,9,20
391,378,122,5,10
392,18,117,9,33
393,18,96,9,8
394,292,543,1,55
395,18,272,10,87
396,18,271,6,86
397,18,59,6,26
398,18,287,9,61
399,18,278,9,90
400,18,285,9,50
401,18,286,9,52
402,18,276,6,85
403,18,284,9,70
404,18,281,9,29
405,18,286,6,46
407,19,8,6,16
408,19,20,9,77
410,19,12,9,53
411,19,377,9,41
412,19,304,6,82
413,19,28,9,3
414,19,26,9,24
415,19,573,10,90
416,19,56,10,8
417,19,573,10,27
418,155,433,2,63
419,19,585,10,14
420,19,584,9,69
421,19,583,9,43
422,19,585,9,27
423,21,348,12,10
424,19,587,9,54
425,19,582,9,2
426,19,591,9,10
427,20,433,10,90
428,20,440,10,69
429,20,439,10,16
430,20,440,10,16
431,20,437,10,63
432,20,439,10,20
433,20,424,10,15
434,20,439,10,53
435,20,440,9,16
436,20,436,9,49
437,20,439,9,3
438,361,439,2,54
439,20,444,9,52
441,20,169,9,88
442,20,437,9,78
443,20,179,10,1
444,20,165,6,59
445,20,175,9,15
446,20,183,9,65
447,20,433,9,76
448,20,181,9,62
449,21,348,10,30
450,21,342,10,51
452,316,587,5,75
453,21,207,10,59
454,21,348,10,69
455,21,334,9,78
456,21,335,9,79
